"Variable","Time","Value","Flags"
"Total 15-64","1996",2474877,
"Females 0-14","1996",253829,
"Females 15-64","1996",1217734,
"Males 0-14","1996",267752,
"Males 15-64","1996",1257143,
"Total 65 and over","1997",473427,
"Total population","1997",3458763,
"Females 65 and over","1997",320556,
"Females Total","1997",1785708,
"Males 65 and over","1997",152871,
"Males Total","1997",1673055,
"Average population","1997",3442261,
"Total 0-14","1997",509613,
"Total 15-64","1997",2475723,
"Females 0-14","1997",247841,
"Females 15-64","1997",1217311,
"Males 0-14","1997",261772,
"Males 15-64","1997",1258412,
"Total 65 and over","1998",470465,
"Total population","1998",3425759,
"Females 65 and over","1998",315256,
"Females Total","1998",1766289,
"Males 65 and over","1998",155209,
"Males Total","1998",1659470,
"Average population","1998",3412290.5,
"Total 0-14","1998",493795,
"Total 15-64","1998",2461499,
"Females 0-14","1998",240189,
"Females 15-64","1998",1210844,
"Males 0-14","1998",253606,
"Males 15-64","1998",1250655,
"Total 65 and over","1999",469858,
"Total population","1999",3398822,
"Females 65 and over","1999",311372,
"Females Total","1999",1750304,
"Males 65 and over","1999",158486,
"Males Total","1999",1648518,
"Average population","1999",3392744.5,
"Total 0-14","1999",477265,
"Total 15-64","1999",2451699,
"Females 0-14","1999",232251,
"Females 15-64","1999",1206681,
"Males 0-14","1999",245014,
"Males 15-64","1999",1245018,
